id_carreau_1km;carreau_traite_secret;code_commune;pop;pop0014;pop1564;pop65p;popf;popfr;poph;pophorsue;popmigr0;popmigrfr;popmigrhorsfr;popue
FR_CRS3035RES1000mN2091000E4270000;0;2B342;222.040051072521;50.4930861907604;146.827575539963;24.7193893417982;122.422744247851;206.167970090217;99.6173068246704;11.7706752401552;197.321932939011;21.8204143073842;0.913030754460599;4.1014057421491
FR_CRS3035RES1000mN2092000E4206000;0;2A004;65.9203003122634;8.31735400551587;33.6920140769767;23.9109322297708;30.011365690211;59.915135163383;35.9089346220523;4.09588254957309;60.7562087566802;5.16409155558318;0.0;1.90928259930731
FR_CRS3035RES1000mN2092000E4212000;0;2A004;57.0;12.0;37.0;8.0;28.0;49.0;29.0;6.0;57.0;0.0;0.0;2.0
FR_CRS3035RES1000mN2092000E4213000;0;2A004;113.781455872336;18.4649948129242;63.9354298994368;31.381031159975;50.2324974064623;102.627481845235;63.5489584658737;4.00544027358841;111.781455872336;2.0;0.0;7.14853375351285
FR_CRS3035RES1000mN2092000E4214000;0;2A004;720.64589442779;129.468442095411;431.933581233449;159.24387109893;351.308665267305;610.830335706214;369.337229160485;55.8739232923226;683.853447462339;23.929731182653;0.0;53.9416354292533
FR_CRS3035RES1000mN2092000E4215000;0;2A004;11407.8681107227;2034.41075206769;6860.44635326767;2513.01100538734;5949.01250522902;9723.3827976766;5458.85560549368;984.098671266515;10689.2780899143;634.950837156795;10.5514088043096;700.386641779579
FR_CRS3035RES1000mN2092000E4216000;0;2A004;907.271338742627;160.629615667895;547.319702451856;199.322020622877;486.956008086117;762.112209327578;420.31533065651;76.2120549315959;815.47073399655;81.9517483474313;0.875467551949656;68.9470744834532
FR_CRS3035RES1000mN2092000E4217000;0;2A004;1879.70472973549;280.030095173635;1210.37516298488;389.299471576983;1000.32336219913;1713.07358460594;879.381367536363;110.301881933402;1579.09789393795;274.584113740189;5.84567711112881;56.3292631961565
FR_CRS3035RES1000mN2092000E4218000;0;2A004;305.66641824045;39.9842672752164;224.852535589034;40.8296153762;159.170521739045;280.139478246491;146.495896501405;14.9318064244361;249.307281207448;51.7814468594545;1.41874322058424;10.5951335695229
FR_CRS3035RES1000mN2092000E4219000;0;2A004;271.827868111591;68.9836881943773;197.051377552385;5.79280236482886;138.976411899508;245.800731589868;132.851456212084;19.6257092640738;247.757309370296;19.7881950935934;0.0;6.40142725764937
FR_CRS3035RES1000mN2092000E4220000;0;2A004;35.2889388268449;6.6147704725155;22.8564382164345;5.81773013789487;21.102978853049;34.9988872558654;14.1859599737959;0.20671823764618;33.9593107693221;1.24629472418945;0.0;0.0833333333333181
FR_CRS3035RES1000mN2092000E4222000;0;2A004,2A032;49.1660001715949;7.76036453319846;26.7263634402173;14.6792721981791;20.1990480998773;40.9303704631225;28.9669520717176;6.11840540820867;46.0818767992728;2.05608224821468;0.0;2.11722430026374
FR_CRS3035RES1000mN2092000E4223000;0;2A032;529.868499419867;97.1670550474594;304.674140777039;128.027303595369;271.736245781402;471.829155557735;258.132253638465;29.2517412061499;485.465125426842;37.4123058731534;1.05861215013187;28.787602655982
FR_CRS3035RES1000mN2092000E4224000;0;2A032;637.981157333639;88.7502940088098;415.6791389002;133.55172442463;330.075178062053;563.501803875386;307.905979271586;47.8359914084608;561.275617930872;67.6830817089181;3.08412337232202;26.6433620497926
FR_CRS3035RES1000mN2092000E4226000;0;2A032,2A104,2A181;115.430263969876;13.6048457812233;80.6690284426123;21.15638974604;57.2033577510231;103.264792482244;58.2269062188525;6.99425082969429;101.893942088418;12.5427600745797;0.0;5.17122065793776
FR_CRS3035RES1000mN2092000E4228000;0;2A104,2A181;75.7420364859486;12.9812924643439;41.1053158893954;21.6554281322093;39.0790075823755;63.6736503587855;36.6630289035731;0.0;71.6331672228456;4.10886926310293;0.0;12.0683861271631
FR_CRS3035RES1000mN2092000E4229000;0;2A104,2A181;60.9729495791105;10.8630070806324;43.0903925894899;7.01954990898823;31.9868996727386;54.108570693463;28.9860499063719;4.88733832233489;56.9902914841149;3.0084262975245;0.0;1.97704056331261
FR_CRS3035RES1000mN2092000E4230000;0;2A104,2A181;73.7760082947282;6.96271697398775;48.4592050160188;18.3540863047216;32.3508533439013;68.6057124437318;41.4251549508269;3.06704411957652;66.697941712755;6.07525781613176;0.0;2.10325173141993
FR_CRS3035RES1000mN2092000E4250000;0;2A099;250.628359480788;36.8909006578778;136.292856713962;77.4446021089482;119.355174486821;229.756733100557;131.273184993967;9.9413171814816;203.838900569943;42.8084953188346;2.97948628553159;10.930309198749
FR_CRS3035RES1000mN2093000E4214000;0;2A004;672.887625806696;99.0828714925917;430.299827550395;143.50492676371;336.200897706325;612.359189019161;336.686728100372;40.7907424323177;634.501070991881;33.8006828297329;0.0;19.7376943552178
FR_CRS3035RES1000mN2093000E4215000;0;2A004;3013.19724966844;650.847464045068;1726.58783363056;635.761951992809;1641.23105016341;2627.90934371412;1371.96619950503;177.323131999908;2785.94988954226;178.757256801411;15.4895887076837;207.964773954412
FR_CRS3035RES1000mN2093000E4216000;0;2A004;10436.6368432337;2109.83264687705;6065.0289060399;2261.77529031671;5589.98589625542;8411.96791823742;4846.65094697823;1110.50528522471;9561.33537808454;712.237774766505;35.7516746646163;914.163639771536
